concept_id,concept_name,patient_count
37116972,Disorder of retroperitoneum,116624
75053,Fracture of bone,116215
4114336,Benign neoplasm of abdomen,116025
437515,Disorder of carbohydrate metabolism,114625
432661,Inflammatory disease of mucous membrane,114025
437312,Bleeding,112703
4239897,Benign neoplasm of intra-abdominal organs,112645
4185207,Lesion of neck,112396
4130526,Disorder of glucose metabolism,112328
4082416,Ear finding,112218
4132462,Tooth finding,112090
4022571,Finding of pharynx,112056
31057,Disorder of pharynx,112056
4083964,Soft tissue injury,111112
201820,Diabetes mellitus,110720
4113998,Mass of urogenital structure,110715
378161,Disorder of ear,110667
4122115,Tooth disorder,110515
37018677,Anomaly of eye,109305
4049222,Disorder of nose and nasopharynx,109093
201131,Pelvic mass,109050
4101212,Finding of esophagus,108797
31610,Disorder of esophagus,108112
4201376,Finding of thyroid gland,107755
141253,Disorder of thyroid gland,107755
4229909,Disorder of the nose,107720
4175297,Lower respiratory tract infection,107495
40483287,Disorder of kidney and/or ureter,106936
4307254,Closed fracture,106791
4197094,Disorder of lower gastrointestinal tract,103442
4063381,Chronic disease of respiratory system,102069
77670,Chest pain,100778
43021226,Hypersensitivity condition,99551
4271450,Acute infectious disease,98950
196931,Neoplasm of digestive tract,98745
4028389,Infectious disease of lung,98049
4054839,Neoplasm of pelvis,97814
40484102,Abnormal finding on evaluation procedure,97633
4226263,Pharyngitis,96752
441406,Disorder of fetus and/or newborn,96737
4002898,Vertebral column finding,95570
4038678,Finding of large intestine,95335
44782549,Disorder of vertebral column,95107
4002905,Disorder of large intestine,95051
253506,Pneumonitis,94292
4181062,Inflammation of skin and/or subcutaneous tissue,93839
317248,Disorder of hematopoietic structure,92486
4312698,Primary malignant neoplasm of trunk,92466
4208786,Musculoskeletal and connective tissue disorder,92368
4303380,Anterior segment finding,92167
4134422,Disorder of anterior segment of eye,92070
432545,Bacterial infectious disease,91849
4124486,Uterus finding,91611
200780,Disorder of uterus,91486
45766714,Inflammatory dermatosis,91472
4008576,Diabetes mellitus without complication,91327
4130851,Injury of upper extremity,91068
198124,Kidney disease,90369
4090615,Disorder of soft tissue of limb,90151
255848,Pneumonia,89827
4193990,Infection of digestive system,89568
4170226,Disorder of lipoprotein AND/OR lipid metabolism,89498
4112341,Acute respiratory infections,89216
201826,Type 2 diabetes mellitus,89149
4130373,Neoplasm of gastrointestinal tract,89143
4043345,Disorder of ocular adnexa,88747
252662,Tracheobronchial disorder,88715
4134134,Injury of nervous system,87245
4036154,Comfort alteration,87238
4090431,Discomfort,87238
378253,Headache,86963
257011,Acute upper respiratory infection,86227
4115107,Mass of female genital structure,85227
433595,Edema,84860
4212886,Disorder of immune structure,84593
36716620,Malignant epithelial neoplasm,84395
4100606,Mass of neck,83612
4008701,Disorder of lymphoid system,83151
4134439,Injury of central nervous system,82557
43530620,Oral lesion,81737
4027255,Structural disorder of heart,81440
440363,Disorder of lymphatic system,81127
437409,Intracranial injury,81067
4095631,Arterial finding,80090
321887,Disorder of artery,80090
43021227,Allergic condition,79785
4127688,Lesion of uterus,79654
4130852,Injury of lower limb,79606
4301699,Neuropathy,78887
432586,Mental disorder,78816
4040388,Disorder characterized by edema,78525
4159963,Inflammatory disorder of genitourinary system,78353
4094683,Chest injury,76893
4096565,Nasal airway finding,76875
4193169,Viral respiratory infection,76664
193631,Injury of internal organ,76422
4106203,Gastrointestinal and digestive injury,76197
197917,Disorder of biliary tract,75911
4115574,Finding of biliary tract,75911
4133611,Traumatic or nontraumatic brain injury,75618
36683564,Allergic disorder,75492
197506,Malignant neoplasm of abdomen,75213
4200516,Lesion of brain,75176
4113547,Lesion of stomach,74708
4300595,Neoplasm of endocrine system,74662
4131756,Neoplasm of female genital organ,74023
40481517,Mass of soft tissue,73924
25297,Acute pharyngitis,73924
442983,Nasal mucosa finding,73628
4175154,Disorder of the peripheral nervous system,73212
4246695,Open wound of head AND/OR neck,72301
4130022,Mass of thyroid gland,72118
4212076,Closed wound,71999
4243161,Open wound of head,71696
